1, Ethan, 159, Emma, 149,
2, Jacob, 149, Hannah, 135,
3, Tyler, 109, Emily, 124,
4, Andrew, 97, Madison, 123,
5, Logan, 96, Abigail, 93,
6, Michael, 96, Olivia, 90,
7, Gabriel, 95, Alexis, 88,
8, Joshua, 95, Hailey, 83,
9, Caleb, 89, Elizabeth, 78,
10, Dylan, 89, Grace, 72,
11, Nathan, 89, Samantha, 69,
12, Matthew, 88, Sydney, 64,
13, Nicholas, 82, Taylor, 63,
14, Zachary, 82, Ashley, 61,
15, Hunter, 81, Jessica, 58,
16, Benjamin, 79, Sarah, 57,
17, Ryan, 79, Morgan, 54,
18, William, 79, Megan, 53,
19, Austin, 78, Isabella, 51,
20, Alexander, 77, Alyssa, 49,
21, Samuel, 77, Kylie, 46,
22, Daniel, 75, Natalie, 46,
23, Noah, 75, Paige, 44,
24, Connor, 74, Chloe, 42,
25, David, 71, Kaitlyn, 42,
26, Joseph, 71, Kaylee, 42,
27, Isaac, 69, Trinity, 42,
28, Mason, 67, Brooke, 41,
29, Carson, 64, Brooklyn, 41,
30, Christopher, 64, Ella, 41,
31, Kaden, 62, Mackenzie, 40,
32, Anthony, 58, Kayla, 38,
33, Luke, 57, Savannah, 38,
34, Brayden, 55, Anna, 37,
35, James, 54, Bailey, 36,
36, Aiden, 53, Lauren, 35,
37, Gavin, 53, Sierra, 35,
38, Jordan, 53, Victoria, 35,
39, Wyatt, 52, Ashlyn, 34,
40, Aaron, 50, Katelyn, 34,
41, John, 50, Rylee, 34,
42, Cameron, 49, Sophia, 34,
43, Tanner, 49, Gracie, 32,
44, Hayden, 48, Rachel, 32,
45, Cody, 47, Makayla, 31,
46, Kyle, 47, Avery, 30,
47, Brandon, 46, Faith, 30,
48, Carter, 46, Kylee, 30,
49, Robert, 46, Shelby, 30,
50, Jonathan, 45, Jordan, 29,
51, Aidan, 44, Maria, 29,
52, Christian, 44, Jasmine, 28,
53, Justin, 44, Lillian, 28,
54, Riley, 44, Alexandra, 27,
55, Thomas, 44, Katie, 27,
56, Jose, 43, Lily, 27,
57, Elijah, 42, Brianna, 26,
58, Jackson, 42, Cassidy, 26,
59, Jayden, 41, Mia, 26,
60, Adam, 40, Vanessa, 26,
61, Cole, 40, Audrey, 25,
62, Colton, 39, Jenna, 25,
63, Juan, 39, Katherine, 25,
64, Kevin, 39, Nicole, 25,
65, Blake, 38, Destiny, 24,
66, Isaiah, 38, Madeline, 24,
67, Seth, 38, Sara, 24,
68, Alex, 37, Zoe, 24,
69, Owen, 37, Amber, 23,
70, Chase, 36, Andrea, 23,
71, Angel, 35, Isabel, 23,
72, Kyler, 35, Sadie, 23,
73, Cooper, 34, Allison, 22,
74, Ian, 33, Amelia, 22,
75, Jaden, 33, Aubrey, 22,
76, Spencer, 33, Hallie, 22,
77, Tristan, 33, Jennifer, 22,
78, Braden, 32, Jocelyn, 22,
79, Evan, 32, Julia, 22,
80, Gage, 32, Mckenna, 22,
81, Jesse, 32, Alexa, 21,
82, Nathaniel, 32, Maggie, 21,
83, Ashton, 31, Makenna, 21,
84, Caden, 31, Mya, 21,
85, Charles, 31, Naomi, 21,
86, Lucas, 31, Rebecca, 21,
87, Parker, 31, Stephanie, 21,
88, Dominic, 30, Ava, 20,
89, Jace, 30, Courtney, 20,
90, Taylor, 30, Mariah, 20,
91, Jack, 29, Riley, 20,
92, Landon, 29, Ashlynn, 19,
93, Preston, 29, Autumn, 19,
94, Trevor, 29, Breanna, 19,
95, Carlos, 28, Cassandra, 19,
96, Brock, 27, Ellie, 19,
97, Dawson, 27, Jordyn, 19,
98, Eric, 26, Kennedy, 19,
99, Garrett, 26, Lydia, 19,
100, Levi, 26, Mikayla, 19,
